category,id,radius,name
Stadium,4bf58dd8d48988d184941735,200,Stadium_200
Stadium,4bf58dd8d48988d184941736,500,Stadium_500
Stadium,4bf58dd8d48988d184941737,1000,Stadium_1000
Food,4d4b7105d754a06374d81259,200,Food_200
Food,4d4b7105d754a06374d81260,500,Food_500
Food,4d4b7105d754a06374d81261,1000,Food_1000
Athletics_Sports,4f4528bc4b90abdf24c9de85,200,Athletics_Sports_200
Athletics_Sports,4f4528bc4b90abdf24c9de86,500,Athletics_Sports_500
Athletics_Sports,4f4528bc4b90abdf24c9de87,1000,Athletics_Sports_1000
Parking,4c38df4de52ce0d596b336e1,200,Parking_200
Parking,4c38df4de52ce0d596b336e2,500,Parking_500
Parking,4c38df4de52ce0d596b336e3,1000,Parking_1000
Shop_Service,4d4b7105d754a06378d81259,200,Shop_Service_200
Shop_Service,4d4b7105d754a06378d81260,500,Shop_Service_500
Shop_Service,4d4b7105d754a06378d81261,1000,Shop_Service_1000
Clothing_Store,4bf58dd8d48988d103951735,200,Clothing_Store_200
Clothing_Store,4bf58dd8d48988d103951736,500,Clothing_Store_500
Clothing_Store,4bf58dd8d48988d103951737,1000,Clothing_Store_1000
Bus_Stop,52f2ab2ebcbc57f1066b8b4f,200,Bus_Stop_200
Bus_Stop,52f2ab2ebcbc57f1066b8b5f,500,Bus_Stop_500
Bus_Stop,52f2ab2ebcbc57f1066b8b6f,1000,Bus_Stop_1000
Metro_Station,4bf58dd8d48988d1fd931735,200,Metro_Station_200
Metro_Station,4bf58dd8d48988d1fd931736,500,Metro_Station_500
Metro_Station,4bf58dd8d48988d1fd931737,1000,Metro_Station_1000
