,latitude,longitude,Stadium_200,Food_500,Athletics_Sports_200,Parking_500,Shop_Service_500,Clothing_Store_200,Bus_Stop_200,Metro_Station_200,prediction
80,35.66010369,-105.9435246,0,1,0,0,10,0,0,0,non
81,35.66462155,-105.94919420000001,0,1,0,0,6,0,0,0,non
82,35.66913963,-105.9548652,0,12,1,0,30,0,0,0,non
83,35.67365793,-105.9605374,0,12,2,0,38,0,0,0,non
84,35.67817645,-105.96621090000002,0,5,0,0,11,0,0,0,non
85,35.68269519,-105.9718856,0,0,0,0,2,0,0,0,non
86,35.68721414,-105.97756159999999,0,0,0,0,0,0,0,0,non
87,35.65835528,-105.9511531,0,1,0,0,13,0,0,0,non
88,35.66287259,-105.956824,0,13,0,0,36,0,0,0,non
89,35.66739011,-105.962496,0,14,1,0,37,0,0,0,non
90,35.67190786,-105.96816940000001,0,8,0,0,33,0,0,0,non
91,35.67642582,-105.973844,0,1,0,0,0,0,0,0,non
